"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
4959.22954657964,4167.11439018987,4.25429045837236,2.7700566184709e-05,0.000251478781942468,1.77910131754395,"IGHG1"
1411.92343147274,453.023520886076,6.62168736772688,1.53593335491315e-10,4.68252114687036e-09,13.4293568152722,"IGHM"
999.960147653426,635.358155379747,5.78277798710031,1.77251309842855e-08,3.51286366611352e-07,8.82587166102316,"IGKV4-1"
824.705815597516,1411.72050221519,5.27853353237078,2.43258309052794e-07,3.74601191278569e-06,6.30089118029931,"TACSTD2"
744.259766213086,493.812488607595,4.6062814260454,5.96262266896826e-06,6.3451305382983e-05,3.23787898718887,"IGHV5-51"
625.184092918632,381.986487974684,4.27858748756909,2.49925827706462e-05,0.000228735361990174,1.87650049873189,"IGLV2-23"
617.243726150141,526.317524050633,3.22852960547018,0.00137568105818394,0.00709379763945823,-1.87063791793099,"IGLV2-14"
597.171388660555,454.976833227848,4.92791629264188,1.34671084124045e-06,1.69730707141813e-05,4.6589120322969,"IGLV1-40"
540.951795556787,436.207734810127,4.23411618118332,3.0159897381558e-05,0.000268935685742272,1.69860421998796,"IGHG3"
525.256580144402,440.950890189873,4.23998956553814,2.94231817474765e-05,0.000262885932761612,1.72200435877822,"IGKV3-11"
