"Cell_Type","Median_HPV_Negative","Median_HPV_Positive","Pvalue","FDR"
"Plasma cells",0.1407,0.4393,5.64e-05,0.0013
"Macrophages M0",0.1034,0.03,0.000141,0.00163
"NK cells resting",0.0244,0.0051,0.00114,0.00871
"T cells CD4 memory resting",0.0676,0.033,0.00231,0.0133
"T cells CD8",0.0479,0.0695,0.00435,0.02
"Mast cells activated",0,0,0.0278,0.0914
"Monocytes",0.0141,0,0.0342,0.0981
"Macrophages M2",0.0223,0.0083,0.0384,0.0981
"Dendritic cells resting",0.0297,0.0224,0.0892,0.205
"T cells follicular helper",0.0499,0.0533,0.104,0.217
"NK cells activated",0,0.0016,0.143,0.275
"B cells naive",0,0,0.202,0.358
"T cells regulatory (Tregs)",0.0055,0.0119,0.272,0.436
"T cells CD4 naive",0,0,0.292,0.436
"Mast cells resting",0.0737,0.0669,0.303,0.436
"Neutrophils",0.0108,0.0086,0.398,0.539
"Macrophages M1",0.045,0.0348,0.437,0.559
"B cells memory",0.0123,0.0109,0.467,0.565
"T cells gamma delta",0,0,0.568,0.654
"T cells CD4 memory activated",0.0024,7e-04,0.634,0.694
"Eosinophils",0,0,0.715,0.747
"Dendritic cells activated",0,0,0.958,0.958
