"Characteristic","HPV_Negative","HPV_Positive","P_value"
"N","243","36",""
"Age, median (IQR)","62 (54-69)","58.5 (50.8-63.8)","0.0367"
"female","72 (29.6%)","4 (11.1%)","0.0333"
"male","171 (70.4%)","32 (88.9%)",""
"Stage Stage I","10 (4.1%)","2 (5.6%)","0.767"
"Stage Stage II","37 (15.2%)","5 (13.9%)",""
"Stage Stage III","30 (12.3%)","4 (11.1%)",""
"Stage Stage IVA","103 (42.4%)","9 (25%)",""
"Stage Stage IVB","4 (1.6%)","0 (0%)",""
"Smoking: Current Reformed Smoker for < or = 15 yrs","49 (20.2%)","12 (33.3%)","0.153"
"Smoking: Current Reformed Smoker for > 15 yrs","37 (15.2%)","2 (5.6%)",""
"Smoking: Current Smoker","63 (25.9%)","8 (22.2%)",""
"Smoking: Lifelong Non-Smoker","38 (15.6%)","9 (25%)",""
"Smoking: Not Reported","6 (2.5%)","0 (0%)",""
"c(""Lip"", ""Tonsil"", ""Gum"", ""Bones, joints and articular cartilage of other and unspecified sites"", ""Palate"", ""Other and unspecified parts of tongue"", ""Floor of mouth"", ""Other and ill-defined sites in lip, oral cavity and pharynx"", ""Larynx"", ""Base of tongue"", ""Other and unspecified parts of mouth"", ""Oropharynx"", ""Hypopharynx"")","243 (100%)","36 (100%)","2.86e-35"
