"GO_ID","GO_Term","GeneRatio","BackgroundRatio","GeneCount","Pvalue","FDR"
"GO:0050851","antigen receptor-mediated signaling pathway","43/1077","206/18842",43,9.00759872615797e-14,5.29646805098088e-10
"GO:0002449","lymphocyte mediated immunity","56/1077","339/18842",56,5.9563716806001e-13,1.75117327409643e-09
"GO:0140013","meiotic nuclear division","36/1077","166/18842",36,2.88082892035477e-12,4.64969646018336e-09
"GO:1903046","meiotic cell cycle process","39/1077","192/18842",39,3.16305881645127e-12,4.64969646018336e-09
"GO:0019724","B cell mediated immunity","37/1077","177/18842",37,4.62999124492487e-12,5.44486970403165e-09
"GO:0016064","immunoglobulin mediated immune response","36/1077","172/18842",36,8.65897679653527e-12,8.48579726060456e-09
"GO:0002443","leukocyte mediated immunity","62/1077","429/18842",62,1.37893735142282e-11,1.15830737519517e-08
"GO:0007127","meiosis I","28/1077","112/18842",28,2.12690847020244e-11,1.56327772559879e-08
"GO:0042113","B cell activation","42/1077","238/18842",42,5.63862170441516e-11,3.68389951355124e-08
"GO:0061982","meiosis I cell cycle process","29/1077","125/18842",29,6.70016626548194e-11,3.93969776410338e-08
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","55/1077","377/18842",55,1.39593122831491e-10,6.96901541494699e-08
"GO:0030098","lymphocyte differentiation","53/1077","356/18842",53,1.42224804386673e-10,6.96901541494699e-08
"GO:0002429","immune response-activating cell surface receptor signaling pathway","51/1077","336/18842",51,1.57044711087383e-10,7.10325308610623e-08
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","56/1077","392/18842",56,2.14382728963213e-10,9.00407461645494e-08
"GO:0051321","meiotic cell cycle","45/1077","281/18842",45,3.25181282207742e-10,1.27471062625435e-07
"GO:0007140","male meiotic nuclear division","15/1077","43/18842",15,6.8816109496594e-09,2.52899202399983e-06
"GO:0050852","T cell receptor signaling pathway","28/1077","145/18842",28,1.172446655832e-08,4.05528608017186e-06
"GO:1903131","mononuclear cell differentiation","56/1077","439/18842",56,1.43009612264045e-08,4.44045068779413e-06
"GO:0007129","homologous chromosome pairing at meiosis","14/1077","39/18842",14,1.43483950796069e-08,4.44045068779413e-06
"GO:0070192","chromosome organization involved in meiotic cell cycle","15/1077","46/18842",15,1.97625082146884e-08,5.8101774151184e-06
"GO:0045143","homologous chromosome segregation","15/1077","51/18842",15,9.40137257420202e-08,2.63238432077657e-05
"GO:0042100","B cell proliferation","18/1077","75/18842",18,1.57977382331457e-07,4.22230458231349e-05
"GO:0030183","B cell differentiation","21/1077","114/18842",21,1.73042757916318e-06,0.000442387572412153
"GO:0045132","meiotic chromosome segregation","16/1077","71/18842",16,1.89278190537788e-06,0.000463731566817581
"GO:0046651","lymphocyte proliferation","32/1077","227/18842",32,2.13900528553913e-06,0.000503094043158802
"GO:0070661","leukocyte proliferation","35/1077","261/18842",35,2.34211919900499e-06,0.000529679265005744
"GO:0032943","mononuclear cell proliferation","32/1077","230/18842",32,2.84798266168454e-06,0.0006202273352113
"GO:0030217","T cell differentiation","35/1077","265/18842",35,3.32154987141706e-06,0.000697525472997582
"GO:0007130","synaptonemal complex assembly","8/1077","19/18842",8,4.76370512424608e-06,0.000933686204352232
"GO:0070193","synaptonemal complex organization","8/1077","19/18842",8,4.76370512424608e-06,0.000933686204352232
"GO:0099565","chemical synaptic transmission, postsynaptic","20/1077","113/18842",20,5.73690433150633e-06,0.00108816120868572
"GO:0007141","male meiosis I","8/1077","20/18842",8,7.54178800031954e-06,0.00134380949823875
"GO:0034587","piRNA processing","8/1077","20/18842",8,7.54178800031954e-06,0.00134380949823875
"GO:0051249","regulation of lymphocyte activation","49/1077","453/18842",49,1.35598484907513e-05,0.00234505615075346
"GO:0060079","excitatory postsynaptic potential","18/1077","101/18842",18,1.50555201892378e-05,0.00252932739179194
"GO:0050853","B cell receptor signaling pathway","15/1077","74/18842",15,1.56044158103051e-05,0.0025487212490165
"GO:0046631","alpha-beta T cell activation","26/1077","183/18842",26,1.63104840314978e-05,0.00259204448932992
"GO:0030888","regulation of B cell proliferation","13/1077","58/18842",13,1.83814612763565e-05,0.00282453778726292
"GO:0007586","digestion","20/1077","122/18842",20,1.87341792012336e-05,0.00282453778726292
"GO:0014821","phasic smooth muscle contraction","7/1077","17/18842",7,2.29027336797795e-05,0.00335876543531334
"GO:0014831","gastro-intestinal system smooth muscle contraction","6/1077","12/18842",6,2.35853059761934e-05,0.00335876543531334
"GO:0050670","regulation of lymphocyte proliferation","27/1077","198/18842",27,2.39911816808095e-05,0.00335876543531334
"GO:0032944","regulation of mononuclear cell proliferation","27/1077","200/18842",27,2.8759511509894e-05,0.00393269599251574
"GO:0007131","reciprocal meiotic recombination","13/1077","61/18842",13,3.26084222857114e-05,0.00418020071737881
"GO:0140527","reciprocal homologous recombination","13/1077","61/18842",13,3.26084222857114e-05,0.00418020071737881
"GO:0070663","regulation of leukocyte proliferation","29/1077","224/18842",29,3.27022505101064e-05,0.00418020071737881
"GO:0050864","regulation of B cell activation","18/1077","107/18842",18,3.38540599353112e-05,0.0042353589876517
"GO:0035825","homologous recombination","14/1077","71/18842",14,4.11939885537751e-05,0.00504626359783745
"GO:0060078","regulation of postsynaptic membrane potential","21/1077","141/18842",21,5.13732732808516e-05,0.00616479279370219
"GO:0022600","digestive system process","16/1077","91/18842",16,5.2475005391338e-05,0.00617106063402134
"GO:0043368","positive T cell selection","10/1077","40/18842",10,6.272747469482e-05,0.00723210884716749
"GO:0045954","positive regulation of natural killer cell mediated cytotoxicity","8/1077","26/18842",8,6.87677526873124e-05,0.00764535824924719
"GO:0030101","natural killer cell activation","16/1077","93/18842",16,6.89122427228063e-05,0.00764535824924719
"GO:0042269","regulation of natural killer cell mediated cytotoxicity","11/1077","49/18842",11,7.9107389981264e-05,0.00861391579795985
"GO:0000280","nuclear division","44/1077","422/18842",44,8.75617245685476e-05,0.00936114437205563
"GO:0050863","regulation of T cell activation","37/1077","346/18842",37,0.000187923631499348,0.0197319813074315
"GO:0090329","regulation of DNA-templated DNA replication","10/1077","46/18842",10,0.000220722433880434,0.0227692616002975
"GO:0002715","regulation of natural killer cell mediated immunity","11/1077","55/18842",11,0.000237219850788396,0.023664475716603
"GO:0045058","T cell selection","12/1077","64/18842",12,0.000237449671306051,0.023664475716603
"GO:0002820","negative regulation of adaptive immune response","12/1077","65/18842",12,0.000276282035826362,0.0270756395109835
"GO:0001894","tissue homeostasis","24/1077","194/18842",24,0.000303503312331822,0.0287838625243728
"GO:0060249","anatomical structure homeostasis","24/1077","194/18842",24,0.000303503312331822,0.0287838625243728
"GO:0002717","positive regulation of natural killer cell mediated immunity","8/1077","32/18842",8,0.000340872979889537,0.0313682940558976
"GO:0000727","double-strand break repair via break-induced replication","5/1077","12/18842",5,0.000341423608771675,0.0313682940558976
"GO:0098815","modulation of excitatory postsynaptic potential","10/1077","49/18842",10,0.000380779846715392,0.0344459307490231
"GO:0042267","natural killer cell mediated cytotoxicity","13/1077","77/18842",13,0.000390841832114437,0.0348204541338316
"GO:0045187","regulation of circadian sleep/wake cycle, sleep","6/1077","19/18842",6,0.00048983617435958,0.042356422135799
"GO:0097400","interleukin-17-mediated signaling pathway","6/1077","19/18842",6,0.00048983617435958,0.042356422135799
"GO:0003014","renal system process","17/1077","122/18842",17,0.000572693375368712,0.0488034354662033
