"Gene","Ensembl_ID","BaseMean","log2FC","Pvalue","FDR"
"MAGEA12","ENSG00000213401.10",325.528921953219,-7.14480856357566,5.97754591151403e-14,3.92705060191159e-12
"AL033397.1","ENSG00000231683.6",398.402321865951,-6.88758263038524,3.4662758401623e-24,1.24836045077267e-21
"MAGEC2","ENSG00000046774.10",29.7681816247159,-6.3479939346073,3.7579171949203e-10,1.02679763062667e-08
"LCE1A","ENSG00000186844.6",81.7284360429314,-6.08662307381095,2.82740447701683e-17,3.61182797551227e-15
"LCE3C","ENSG00000244057.4",54.5759350772891,-6.01424020228058,1.75903788176356e-10,5.26865334285335e-09
"LINC02700","ENSG00000255666.7",52.1241326958606,-5.79137199603841,1.761879740226e-29,1.19695702715535e-26
"FAM25C","ENSG00000276430.3",20.3150144103583,-5.31757000931009,2.53765857665426e-18,3.75399185704021e-16
"SAGE1","ENSG00000181433.9",50.1814344002203,-5.30071201541722,1.00697035589269e-07,1.45061965678767e-06
"CTAG2","ENSG00000126890.13",26.0233277430846,-5.26843393687765,3.64887065891118e-06,3.34851548169471e-05
"LINC00355","ENSG00000227674.3",30.6651840906736,-5.23938074060697,2.1315080063015e-12,1.00869384322397e-10
"CES1","ENSG00000198848.13",4978.2531473209,-5.13813239066247,4.03509092355427e-21,9.06894269826196e-19
"CSAG1","ENSG00000198930.13",259.231016466278,-5.1159002681475,5.57695253226799e-16,5.67028112566513e-14
"LINC02582","ENSG00000261780.3",180.768303742927,-5.0338243455287,2.61041428264513e-12,1.21851943731636e-10
"BX322234.2","ENSG00000233085.5",20.5411512122207,-5.0097460342315,1.69909561272295e-17,2.26738241319261e-15
"LCE2A","ENSG00000187173.4",70.5813142423307,-4.95372057755229,4.01705280364884e-12,1.79220511054733e-10
"VTA1P1","ENSG00000224999.1",18.811723881813,-4.87163946384395,1.65804927545164e-11,6.51645858678739e-10
"C11orf87","ENSG00000185742.7",87.815714975275,-4.81341559071169,1.46395974520986e-18,2.2326879950925e-16
"IGFL3","ENSG00000188624.3",168.392695170375,-4.75726005325755,4.43946981924183e-21,9.82997272865014e-19
"C6orf15","ENSG00000204542.3",615.279783050776,-4.74636359546923,6.7245458248815e-20,1.19648883212713e-17
"MUCL1","ENSG00000172551.11",412.951499713356,-4.65655862758979,4.50321583952338e-21,9.897803520223e-19
"AC080079.2","ENSG00000287424.1",14.0763631830922,-4.59428823610774,1.00858454112467e-11,4.12994645250667e-10
"LINC01611","ENSG00000231776.5",5.13180290897841,-4.59357060718473,9.45327759003995e-09,1.8183872182849e-07
"LCE2C","ENSG00000187180.3",79.5620847616523,-4.52374036107161,8.66987215683162e-11,2.81389596647134e-09
"LINC01214","ENSG00000243550.3",23.2181770637564,-4.51530109493329,1.05810823073164e-17,1.45755627801983e-15
"AC128657.1","ENSG00000258073.1",12.67044335782,-4.50730013445645,9.16680900036326e-14,5.76967189935211e-12
"GPR149","ENSG00000174948.6",30.8070609487135,-4.47150847166002,4.04820102077349e-08,6.47798848570456e-07
"TCHHL1","ENSG00000182898.4",50.4218633750101,-4.46898091177456,9.9931153077616e-22,2.55311284427017e-19
"LCE6A","ENSG00000235942.3",44.780124602844,-4.46020139911177,4.68308626610376e-09,9.65426308043955e-08
"AC055736.1","ENSG00000257500.1",18.7632649289528,-4.44771938613712,2.89214567020783e-20,5.57754957250662e-18
"MMP13","ENSG00000137745.12",14531.5551251431,-4.38273203112599,3.73972735576266e-20,6.9433496967986e-18
"AC018558.7","ENSG00000287448.1",4.26731467244252,-4.37854271248135,1.37849579234823e-08,2.52024441742345e-07
"AC016642.1","ENSG00000248475.5",7.33151036336518,-4.33532206445647,8.6692842102465e-06,7.08232423101089e-05
"LCE2B","ENSG00000159455.9",84.3216385338189,-4.30190288829835,2.58603285635848e-08,4.35257286837092e-07
"RNU7-159P","ENSG00000238562.1",3.89811957586181,-4.29432960664664,0.000397502027575295,0.00188665141446185
"LINC02377","ENSG00000250102.6",31.7461840433038,-4.28999203120386,6.90792736428423e-10,1.76942386266653e-08
"MAGEC1","ENSG00000155495.9",63.2774816953022,-4.28645148947082,0.000125613908411832,0.00070846244344273
"KLK5","ENSG00000167754.13",6251.36062164462,-4.22609300878032,1.56970203186217e-22,4.60015030749255e-20
"LCE2D","ENSG00000187223.4",43.4972004495402,-4.18354789714178,1.15508692985533e-09,2.81171486215273e-08
"LINC01194","ENSG00000248131.6",5.85323488679935,-4.18041527616326,0.000542726187710803,0.00244582710734981
"CASC20","ENSG00000229876.1",24.3079251288705,-4.17305999709737,9.61382893004382e-12,3.95835501896515e-10
"LCE1D","ENSG00000172155.10",8.56424674794728,-4.17167166352741,9.51207721779404e-07,1.04688885196723e-05
"AC092916.1","ENSG00000239311.1",8.44571091741381,-4.13966368340312,0.00179490623377548,0.00665343962549809
"SPRR4","ENSG00000184148.4",622.307957506074,-4.09143082978589,1.09959157511006e-20,2.28466433902798e-18
"LINC02315","ENSG00000251363.3",36.1602569625928,-4.09013776853479,1.47220077347515e-09,3.47606836656549e-08
"LINC02830","ENSG00000224899.1",5.33157329156383,-4.08964315290671,1.72366956020524e-10,5.17308539092924e-09
"FOLR3","ENSG00000110203.9",162.650834455243,-4.08511243470133,3.45021677251669e-24,1.24836045077267e-21
"RDH12","ENSG00000139988.10",679.651368354912,-4.0800081614196,4.22494137593014e-24,1.48578761893299e-21
"PRMT8","ENSG00000111218.12",31.6929491593951,-4.06951860548957,5.00230311388034e-15,4.13192852771333e-13
"AC010327.4","ENSG00000267577.1",18.9592139640637,-4.06541291463954,1.21212033398653e-16,1.39356542398175e-14
"SPANXD","ENSG00000196406.4",3.21615204132464,-4.02210678498676,0.000611068831057168,0.00269873968401184
